Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,11618,2022-08-09,0.1000623069,0.0517912902,0.0545707792,21,100
Market-Adjusted Model,11628,2022-08-09,0.0039079526,-0.040540437,-0.041583575,21,100
Market-Adjusted Model,11636,2022-08-09,0.7518795908,0.558810887,0.7063880631,21,100
Market-Adjusted Model,11644,2022-08-09,0.2723004332,0.2140639667,0.2268089055,21,100
Market-Adjusted Model,11654,2022-08-09,0.1302644363,0.0809721272,0.0847729087,21,100
Market-Adjusted Model,11664,2022-08-09,-0.207654402,-0.264511633,-0.25314593,21,100
Market-Adjusted Model,11674,2022-08-09,0.0718117121,0.0241207464,0.0263201844,21,100
Market-Adjusted Model,11691,2022-08-09,-0.058780914,-0.097893185,-0.104272441,21,100
Market-Adjusted Model,11701,2022-08-09,0.0825707641,0.0347203226,0.0370792364,21,100
Market-Adjusted Model,11731,2022-08-09,0.1210315655,0.0716039522,0.0755400378,21,100
Market-Adjusted Model,11748,2022-08-09,-0.069768047,-0.079128146,-0.115259575,21,100
Market-Adjusted Model,11752,2022-08-09,0.087993741,0.043032307,0.0425022133,21,100
Market-Adjusted Model,11762,2022-08-09,0.0729611444,0.0264332195,0.0274696167,21,100
Market-Adjusted Model,11775,2022-08-09,0.0216802546,-0.018948254,-0.023811273,21,100
Market-Adjusted Model,11786,2022-08-09,0.0801462443,0.0416418478,0.0346547167,21,100
Market-Adjusted Model,11790,2022-08-09,-0.020833369,-0.060694479,-0.066324897,21,100
Market-Adjusted Model,11803,2022-08-09,0.1208555213,0.0944841447,0.0753639936,21,100
Market-Adjusted Model,11809,2022-08-09,0.2718994172,0.2025170247,0.2264078895,21,100
Market-Adjusted Model,11825,2022-08-09,0.4619178117,0.3712946639,0.416426284,21,100
Market-Adjusted Model,11844,2022-08-09,0.045911094,-0.000066836,0.0004195663,21,100
Market-Adjusted Model,11845,2022-08-09,-0.13220139,-0.180510886,-0.177692918,21,100
Market-Adjusted Model,11850,2022-08-09,0.0994156225,0.0539545177,0.0539240949,21,100
Market-Adjusted Model,11884,2022-08-09,0.0129103084,-0.03083237,-0.032581219,21,100
Market-Adjusted Model,11891,2022-08-09,0.1143599222,0.0681599299,0.0688683945,21,100
Market-Adjusted Model,11955,2022-08-09,0.112443873,0.0618966733,0.0669523454,21,100
Market-Adjusted Model,11990,2022-08-09,0.0159831402,-0.022165292,-0.029508387,21,100
Market-Adjusted Model,11995,2022-08-09,0.0425492508,-0.00293758,-0.002942277,21,100
Market-Adjusted Model,11996,2022-08-09,0.0167592468,-0.028869907,-0.028732281,21,100
Market-Adjusted Model,12008,2022-08-09,0.1950312649,0.1360248653,0.1495397372,21,100
Market-Adjusted Model,12009,2022-08-09,0.2108625588,0.1540096352,0.1653710311,21,100
Market-Adjusted Model,12015,2022-08-09,0.1237381228,0.0732650832,0.0782465951,21,100
Market-Adjusted Model,12017,2022-08-09,-0.018055272,-0.037928589,-0.0635468,21,100
Market-Adjusted Model,12034,2022-08-09,0.0156482897,-0.029883,-0.029843238,21,100
Market-Adjusted Model,12035,2022-08-09,0.1191371215,0.0689167506,0.0736455938,21,100
Market-Adjusted Model,12036,2022-08-09,0.046126444,0.0013531436,0.0006349163,21,100
Market-Adjusted Model,12039,2022-08-09,-0.022690457,-0.067368354,-0.068181985,21,100
Market-Adjusted Model,12049,2022-08-09,0.2051282433,0.1508907364,0.1596367156,21,100
Market-Adjusted Model,12052,2022-08-09,0.0694698199,0.0226686718,0.0239782922,21,100
Market-Adjusted Model,12054,2022-08-09,0.0378270918,-0.007227628,-0.007664436,21,100
Market-Adjusted Model,12059,2022-08-09,-0.012730685,-0.058730983,-0.058222213,21,100
Market-Adjusted Model,12060,2022-08-09,0.1132240774,0.0652907226,0.0677325497,21,100
Market-Adjusted Model,12062,2022-08-09,-0.029815168,-0.074001119,-0.075306696,21,100
Market-Adjusted Model,12064,2022-08-09,-0.0025753,-0.048680395,-0.048066827,21,100
Market-Adjusted Model,12065,2022-08-09,0.0077838159,-0.038077209,-0.037707712,21,100
Market-Adjusted Model,12066,2022-08-09,0.0818825078,0.0339436178,0.0363909801,21,100
Market-Adjusted Model,12068,2022-08-09,0.0758323979,0.0286859429,0.0303408702,21,100
Market-Adjusted Model,12070,2022-08-09,-0.035335941,-0.078959084,-0.080827469,21,100
Market-Adjusted Model,12075,2022-08-09,0.0365454601,-0.009450458,-0.008946068,21,100
Market-Adjusted Model,12076,2022-08-09,0.1792483787,0.13902702,0.133756851,21,100
Market-Adjusted Model,12078,2022-08-09,0.048936178,0.0054062769,0.0034446504,21,100
Market-Adjusted Model,12082,2022-08-09,0.1077822703,0.0662354209,0.0622907426,21,100
Market-Adjusted Model,12084,2022-08-09,-0.001091148,-0.040535839,-0.046582676,21,100
Market-Adjusted Model,12098,2022-08-09,-0.00800754,-0.053557567,-0.053499067,21,100
Market-Adjusted Model,12103,2022-08-09,0.0185633077,-0.026982812,-0.02692822,21,100
Market-Adjusted Model,12105,2022-08-09,0.0350800968,-0.009769228,-0.010411431,21,100
Market-Adjusted Model,12109,2022-08-09,0.1748727113,0.1220982611,0.1293811836,21,100
Market-Adjusted Model,12146,2022-08-09,0.0457745734,0.0014508281,0.0002830457,21,100
Market-Adjusted Model,12166,2022-08-09,-0.069637888,-0.112344989,-0.115129415,21,100
Market-Adjusted Model,12189,2022-08-09,0.0421143851,-0.001464547,-0.003377143,21,100
Market-Adjusted Model,12209,2022-08-09,0.2475350725,0.2246317486,0.2020435448,21,100
Market-Adjusted Model,12211,2022-08-09,0.1704719036,0.1150150568,0.1249803759,21,100
Market-Adjusted Model,12219,2022-08-09,-0.058997781,-0.105823096,-0.104489308,21,100
